id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_22_opentabnaptien","OpenTabNapTien → DataCenter","OpenTabNapTien → DataCenter","cross_community",6,"['comm_63','comm_28','comm_168','comm_17']","Method:src/com/langla/real/player/Session.java:Serivce.openTabNapTien#0","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_23_nextmap","NextMap → Positive","NextMap → Positive","cross_community",6,"['comm_160','comm_51','comm_49']","Method:src/com/langla/real/map/Map.java:Map.nextMap#1","Method:src/com/langla/lib/Utlis.java:Utlis.positive#1"
"proc_24_chatpublic","ChatPublic → DataCenter","ChatPublic → DataCenter","cross_community",6,"['comm_140','comm_28','comm_168','comm_17']","Method:src/com/langla/real/player/Char.java:Char.chatPublic#1","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_25_a","A → I","A → I","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.a#0","Method:src/com/langla/lib/Utlis.java:Utlis.i#1~int"
"proc_26_a","A → Write","A → Write","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.a#0","Method:src/com/langla/lib/Binary.java:Binary.write#3"
"proc_27_a","A → Close","A → Close","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.a#0","Method:src/com/langla/server/lib/Reader.java:Reader.close#0"
"proc_28_b","B → I","B → I","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.b#0","Method:src/com/langla/lib/Utlis.java:Utlis.i#1~int"
"proc_29_b","B → Write","B → Write","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.b#0","Method:src/com/langla/lib/Binary.java:Binary.write#3"
"proc_30_b","B → Close","B → Close","cross_community",6,"['comm_66','comm_61','comm_57']","Method:src/com/langla/lib/Binary.java:Binary.b#0","Method:src/com/langla/server/lib/Reader.java:Reader.close#0"
"proc_31_hoanthanhnhiemvu","HoanThanhNhiemVu → DataCenter","HoanThanhNhiemVu → DataCenter","cross_community",6,"['comm_158','comm_43','comm_17']","Method:src/com/langla/real/task/TaskHandler.java:TaskHandler.hoanThanhNhiemVu#1","Constructor:src/com/langla/data/DataCenter.java:DataCenter.DataCenter#0"
"proc_32_handler","Handler → WriteByte","Handler → WriteByte","cross_community",5,"['comm_176','comm_43','comm_23','comm_63']","Method:src/com/langla/real/other/InputClient.java:InputClient.Handler#2","Method:src/com/langla/server/lib/Writer.java:Writer.writeByte#1"
